"","from","to","database","source"
"3806","PSEN1","NOTCH2","omnipath","omnipath"
"3807","PSEN1","NOTCH3","omnipath","omnipath"
"3808","PSEN1","PSEN1","omnipath","omnipath"
"3809","PSG4","DSCAM","omnipath","omnipath"
"3810","PSG5","PDGFRA","omnipath","omnipath"
"3811","PSG5","TNFRSF12A","omnipath","omnipath"
"3812","PSG6","DSCAM","omnipath","omnipath"
"3813","PSG7","FGFR4","omnipath","omnipath"
"3814","PSG7","DSCAM","omnipath","omnipath"
"3815","PSG7","DCC","omnipath","omnipath"
"3816","PSG7","CLEC4A","omnipath","omnipath"
"3817","PSG9","DSCAM","omnipath","omnipath"
"3818","PSG9","FGFR4","omnipath","omnipath"
"3819","PSG9","AXL","omnipath","omnipath"
"3820","PSG9","DCC","omnipath","omnipath"
"3821","PSPN","GFRA4","omnipath","omnipath"
"3822","PSPN","GFRA3","omnipath","omnipath"
"3823","PSPN","RET","omnipath","omnipath"
"3824","PSPN","SDC3","omnipath","omnipath"
"3825","PSPN","GFRA2","omnipath","omnipath"
"3826","PSPN","GFRA1","omnipath","omnipath"
"3827","PTDSS1","JMJD6","nichenet_verschueren","nichenet_verschueren"
"3828","PTDSS1","SCARB1","omnipath","omnipath"
"3829","PTGFRN","TMEM59L","omnipath","omnipath"
"3830","PTGFRN","SGCG","omnipath","omnipath"
"3831","PTGS2","PTGDR2","nichenet_verschueren","nichenet_verschueren"
"3832","PTH","PTH1R","omnipath","omnipath"
"3833","PTH","PTH2R","omnipath","omnipath"
"3834","PTH","ADCYAP1R1","omnipath","omnipath"
"3835","PTH","ADRB2","omnipath","omnipath"
"3836","PTH","GPR84","omnipath","omnipath"
"3837","PTH","VIPR1","omnipath","omnipath"
"3838","PTH","GPR20","omnipath","omnipath"
"3839","PTH","ADRB3","omnipath","omnipath"
"3840","PTH","TSHR","omnipath","omnipath"
"3841","PTH","RAMP3","omnipath","omnipath"
"3842","PTH","RAMP2","omnipath","omnipath"
"3843","PTH","LRP6","omnipath","omnipath"
"3844","PTH2","PTH1R","omnipath","omnipath"
"3845","PTH2","PTH2R","omnipath","omnipath"
"3846","PTH2","ADCYAP1R1","omnipath","omnipath"
"3847","PTH2","TSHR","omnipath","omnipath"
"3848","PTH2","GPR20","omnipath","omnipath"
