"","from","to","database","source"
"1996","Fgf16","Fgfr1","omnipath","omnipath"
"1997","Fgf16","Fgfr2","omnipath","omnipath"
"1998","Fgf16","Fgfr3","omnipath","omnipath"
"1999","Fgf16","Fgfr4","omnipath","omnipath"
"2000","Fgf17","Fgfr1","omnipath","omnipath"
"2001","Fgf17","Fgfr2","omnipath","omnipath"
"2002","Fgf17","Fgfr3","omnipath","omnipath"
"2003","Fgf17","Fgfr4","omnipath","omnipath"
"2004","Fgf18","Fgfr1","omnipath","omnipath"
"2005","Fgf18","Fgfr2","omnipath","omnipath"
"2006","Fgf18","Fgfr3","omnipath","omnipath"
"2007","Fgf18","Fgfr4","omnipath","omnipath"
"2008","Fgf2","Cd44","omnipath","omnipath"
"2009","Fgf2","Fgfr1","omnipath","omnipath"
"2010","Fgf2","Fgfr2","omnipath","omnipath"
"2011","Fgf2","Fgfr3","omnipath","omnipath"
"2012","Fgf2","Fgfr4","omnipath","omnipath"
"2013","Fgf2","Fgfrl1","omnipath","omnipath"
"2014","Fgf2","Gpc4","omnipath","omnipath"
"2015","Fgf2","Nrp1","omnipath","omnipath"
"2016","Fgf2","Sdc1","omnipath","omnipath"
"2017","Fgf2","Sdc2","omnipath","omnipath"
"2018","Fgf2","Sdc3","omnipath","omnipath"
"2019","Fgf2","Sdc4","omnipath","omnipath"
"2020","Fgf20","Fgfr1","omnipath","omnipath"
"2021","Fgf20","Fgfr2","omnipath","omnipath"
"2022","Fgf20","Fgfr3","omnipath","omnipath"
"2023","Fgf20","Fgfr4","omnipath","omnipath"
"2024","Fgf21","Fgfr1","omnipath","omnipath"
"2025","Fgf21","Fgfr2","omnipath","omnipath"
"2026","Fgf21","Fgfr3","omnipath","omnipath"
"2027","Fgf21","Fgfr4","omnipath","omnipath"
"2028","Fgf21","Klb","omnipath","omnipath"
"2029","Fgf22","Fgfr1","omnipath","omnipath"
"2030","Fgf22","Fgfr2","omnipath","omnipath"
"2031","Fgf22","Fgfrl1","omnipath","omnipath"
"2032","Fgf23","Fgfr1","omnipath","omnipath"
"2033","Fgf23","Fgfr2","omnipath","omnipath"
"2034","Fgf23","Fgfr3","omnipath","omnipath"
"2035","Fgf23","Fgfr4","omnipath","omnipath"
"2036","Fgf3","Fgfr1","omnipath","omnipath"
"2037","Fgf3","Fgfr2","omnipath","omnipath"
"2038","Fgf3","Fgfr3","omnipath","omnipath"
"2039","Fgf3","Fgfr4","omnipath","omnipath"
"2040","Fgf3","Fgfrl1","omnipath","omnipath"
"2041","Fgf4","Fgfr1","omnipath","omnipath"
"2042","Fgf4","Fgfr2","omnipath","omnipath"
